ela_mean,ela_std,fft_mean,texture_variance,noise_mean,copy_move_score,noise_inconsistency,label
10.589942932128906,13.711731338708839,125.97872924804688,27.00568064417166,2.0084495544433594,0.0,50.72828887503964,0
16.73383967081706,20.459921608603356,117.1256332397461,8.696981491040788,2.8701451619466147,0.0,48.21439662616936,0
16.729446411132812,20.400997302410488,140.95481872558594,120.50098622118821,3.2748146057128906,0.0,54.20800210589131,0
13.82431411743164,14.688834806784419,134.29869079589844,77.03732203492837,4.052654266357422,0.0,116.47976301773403,0
13.41314442952474,14.703867661842368,121.40675735473633,16.829238581412937,3.4399731953938804,0.0,38.92896154852699,0
14.142017364501953,15.112379857135465,128.3290901184082,37.26565703876258,3.60076904296875,0.0,92.00982412899218,0
20.599898020426433,21.031530406511244,135.5616683959961,79.31368535757065,4.547239939371745,0.0,85.16852611130588,0
19.85998280843099,24.14648403657649,122.71341323852539,29.554145745700225,4.2442372639973955,0.0,87.2202209226358,0
15.903663635253906,16.6274133661749,124.67742538452148,21.608426786900964,4.489938100179036,0.0,58.86970601133615,0
12.196647644042969,14.022014404939167,145.39421844482422,186.10469843026658,4.72677485148112,0.0,123.4388272127887,0
20.60730743408203,21.150537778471012,124.79773330688477,29.73302844160935,1.9153849283854167,0.0,17.26323803422282,0
12.516901652018229,14.837659169751381,142.89385223388672,150.03175615343207,3.2544466654459634,0.0,105.65806345232309,0
11.957314809163412,12.885527919287759,120.07487487792969,14.949802877250477,2.313725789388021,0.0,44.79992449867019,0
14.986952463785807,18.153271713508236,134.25324249267578,70.69694146508118,3.3587544759114585,0.0,63.54586540130244,0
13.676565806070963,15.643976456829932,151.3287582397461,337.9599565919343,3.3301963806152344,0.0,107.34796544504113,0
14.233409881591797,19.595295450729438,132.4128761291504,55.82742688826693,1.3404172261555989,0.0,36.20867005890112,0
19.75533930460612,19.272271820440267,146.78955459594727,233.33697846438736,5.893319447835286,0.0,116.83278725261682,0
15.233715057373047,17.514725146220737,152.3281021118164,389.6825313148438,3.4160359700520835,0.0,152.9388329399344,0
18.62747573852539,19.611198234908386,124.43120574951172,21.79948425083421,2.337487538655599,0.0,35.09460045081244,0
14.927196502685547,17.013443685112993,138.91083145141602,102.83204898748954,2.5200284322102866,0.0,82.50543022160386,0
18.251317342122395,20.626962915442324,134.88197708129883,67.70799878466642,3.6877848307291665,0.0,96.57471191039805,0
13.40032704671224,14.476315108898932,127.87831115722656,35.418563758721575,4.294180552164714,0.0,61.74062829186744,0
14.39920425415039,16.464643031086986,132.04824447631836,54.702275351563,3.7432785034179688,0.0,76.91176616683045,0
18.30608367919922,20.49941387341107,139.92518997192383,115.01195851118246,2.9034754435221353,0.0,47.77719089295012,0
11.341431935628256,13.66034782314372,148.5841827392578,249.56910820346093,2.5843416849772134,0.0,81.11578472179131,0
12.552488962809244,15.632279119407107,137.77304458618164,89.57873273429868,1.9597460428873699,0.0,27.03389684414372,0
11.069633483886719,12.201468145445512,136.44040298461914,91.27208581980085,2.6006062825520835,0.0,37.075091512240306,0
18.24001693725586,18.601138269568953,155.68004608154297,474.5136573114287,6.978993733723958,0.0,209.04003853973504,0
19.084857940673828,21.249661611378308,136.2775421142578,90.8046623984701,2.910895029703776,0.0,67.88814450608471,0
14.390548706054688,18.165448566292323,147.43980407714844,275.27685165287403,3.2705052693684897,0.0,123.03179201561908,0
19.90243403116862,19.693568635092397,128.52523040771484,41.60516780614853,5.7852427164713545,0.0,57.47754482184015,0
19.33624267578125,19.958009148119974,145.55017471313477,237.84545888652792,3.569488525390625,0.0,50.79747974885053,0
13.731273651123047,14.367210056197923,142.57147598266602,163.6433746421244,3.6094932556152344,0.0,129.29463163832696,0
18.660695393880207,20.574460523937507,143.8824577331543,161.01572029407544,4.051497141520183,0.0,80.41933618398751,0
18.08606211344401,18.849788076490743,132.6065788269043,60.90719117723347,1.7129720052083333,0.0,19.905905679697636,0
14.333106994628906,16.619950420806244,128.01959991455078,33.326576144376304,1.4666163126627605,0.0,25.446471063177427,0
15.542213439941406,20.211080334759743,149.30334091186523,273.6904882764793,2.928960164388021,0.0,52.640861786825084,0
18.36199696858724,17.781245084684823,144.53092575073242,174.2186309024546,4.573641459147136,0.0,78.91971287709374,0
14.920024871826172,17.276188122119866,134.3110694885254,61.54698522895342,1.8768234252929688,0.0,42.75939518063448,0
18.060067494710285,19.384876694411066,144.37275314331055,270.7467154915066,8.278907775878906,0.0,277.980833522252,0
24.764423370361328,21.05225745532504,144.00386428833008,204.0514623610652,16.793624877929688,0.0,110.3313726007941,0
20.364208221435547,20.685876163247574,148.6092987060547,251.642432998633,5.227924346923828,0.0,147.1750185956421,0
14.273406982421875,16.708403340622542,126.32050323486328,30.53463344402553,6.568260192871094,0.0,103.91370379761672,0
